Time,Event
3362.218976,ON
3363.862976,OFF
3365.352,ON
3367.22,OFF
3368.641984,ON
3369.752992,OFF
3371.452992,ON
3372.808,OFF
3373.841984,ON
3374.362976,OFF
3375.664,ON
3376.597984,OFF
3378.186976,ON
3379.285984,OFF
3380.997984,ON
3382.197984,OFF
3382.729984,ON
3384.02,OFF
3385.797984,ON
3387.552992,OFF
3389.352992,ON
3390.541984,OFF
3391.276,ON
3391.932,OFF
3393.696992,ON
3395.442976,OFF
3396.008992,ON
3397.953984,OFF
3399.476,ON
3400.853984,OFF
3402.853984,ON
3404.608992,OFF
