LSL,Harp
1211349.3361318,5014.262496
1211349.7901299,5014.71648
1211349.8461505,5014.77248
1211349.9320547,5014.858496
1211350.7140476,5015.64048
1211351.5701673,5016.497504
1211352.0070002,5016.933504
1211352.4341232,5017.36048
1211353.2771568,5018.20448
1211354.0533288,5018.98048
1211354.2421009,5019.16848
1211354.3221031,5019.24848
1211355.0939798,5020.02048
1211355.9850173,5020.911488
1211356.5889607,5021.51648
1211356.666896,5021.593504
1211356.6951317,5021.622496
1211356.9590418,5021.886496
1211357.615984,5022.543488
1211357.8829962,5022.810496
1211358.7881401,5023.715488
1211359.6959418,5024.622496
1211360.4790746,5025.406496
1211360.9158615,5025.842496
1211361.0307592,5025.957504
1211361.9448009,5026.871488
1211362.2667846,5027.193504
1211362.6947698,5027.621504
1211363.1887312,5028.115488
1211363.29568,5028.222496
1211363.4186915,5028.345504
1211363.6807565,5028.607488
1211364.4157425,5029.342496
1211364.4926971,5029.419488
1211365.4877128,5030.414496
1211366.3756729,5031.302496
1211367.0756921,5032.002496
1211367.1946747,5032.121504
1211368.1356189,5033.062496
1211368.1646968,5033.091488
1211368.6956274,5033.622496
1211369.320615,5034.247488
1211369.9296513,5034.85648
1211370.7246219,5035.651488
1211371.1955736,5036.122496
1211371.3365611,5036.263488
1211372.1845676,5037.111488
1211372.9615771,5037.88848
1211373.5075621,5038.434496
1211374.4505627,5039.377504
1211374.8685495,5039.795488
1211375.5065564,5040.433504
1211376.3084857,5041.235488
1211376.7295174,5041.65648
1211377.7275134,5042.655488
1211378.3814637,5043.30848
1211379.0534734,5043.98048
1211379.6834853,5044.610496
1211380.665417,5045.59248
1211381.5413985,5046.46848
1211382.1004122,5047.027488
1211383.1134761,5048.041504
1211384.0483461,5048.975488
1211384.7803446,5049.707488
1211385.4343785,5050.361504
1211386.3702955,5051.297504
1211386.7162316,5051.643488
1211387.4163301,5052.343488
1211388.3354228,5053.262496
1211389.0543169,5053.981504
1211389.4385112,5054.366496
1211390.3392182,5055.266496
1211390.6662745,5055.593504
1211391.2902831,5056.218496
1211392.04125055,5056.96848
1211392.33729105,5057.26448
1211392.64028075,5057.567488
1211393.63619085,5058.563488
1211394.61921895,5059.546496
1211395.60222155,5060.529504
1211395.68225115,5060.610496
1211396.22436745,5061.15248
1211397.13311175,5062.06048
1211397.69814135,5062.625504
1211398.39821965,5063.325504
1211398.89713575,5063.82448
1211399.37602985,5064.303488
1211399.70008915,5064.627488
1211399.77206125,5064.699488
1211400.11811025,5065.045504
1211400.33512645,5065.262496
1211400.43420175,5065.361504
1211400.57016095,5065.498496
1211400.63508105,5065.562496
1211401.11507185,5066.043488
1211401.64714305,5066.575488
1211402.33718105,5067.265504
