Item1.Timestamp,Item1.Value,Item2.Timestamp,Item2.Value
969215.8168824,13503.76,969215.8169123,13503.76
969216.8769032,13504.82,969216.8773485,13504.82
969217.7728816,13505.72,969217.7732869,13505.72
969217.8959596,13505.84,969217.8961058,13505.84
969218.6708336,13506.62,969218.6713206,13506.62
969219.6467264,13507.59,969219.6472888,13507.59
969220.0487338,13508,969220.0493112,13508
969220.9538365,13508.9,969220.954384,13508.9
969221.7447518,13509.69,969221.7452032,13509.69
969222.602773,13510.55,969222.6030287,13510.55
969222.8367751,13510.78,969222.8363952,13510.78
969223.5688016,13511.52,969223.5683419,13511.52
